ID,Category,Question,Answer,Option_1,Option_2,Option_3
1,Geography,What is the largest State in the United States?,Alaska,Texas,Califonia,Washington
2,Geography,What is the smallest country in the world?,Vatican City,Belgium,The Netherlands,Andorra
3,Geography,What African country has Portuguese as its official language?,Mozambique,Kenya,Senegal,Ghana
4,Geography,How many timezones does Russia have?,11,8,4,16
5,Geography,Which of the following is NOT a capital city?,Sydney,Washington DC,Santiago,Wellington
6,Geography,Which of these island countries is located in the Caribbean?,Barbados,Java,Tahiti,Bermuda
7,Geography,"What is the capital of the State of Washington, United States?",Olympia,Washington DC,Eugene,Seattle
8,Geography,"Which country has the abbreviation ""CH""?",Switzerland,China,Chile,Chad
9,Geography,"In what city would you find the ""Spanish Steps""?",Rome,Barcelona,Madrid,Mexico City
10,Geography,Which country was NOT part of the Soviet Union?,Romania,Russia,Khazakstan,Estonia
11,Science,What is the most abundant element in the universe?,Hydrogen,Oxygen,Sodium,Carbon
12,Science,Which Planet is furthest from the Sun,Neptune,Jupiter,Satern,Mercury
13,Science,Water Boils at what temperature? (Fahrenheit),212,100,32,273
14,Science,Which of the following is NOT a phase of matter,Jello,Plasma,Solid,Liquid
15,Science,"A ""Geigar Counter"" measures which phenomena?",Radiation,Acceleration,Pressure,Mass
16,Science,Table Salt is more formally known as which of the following,NaCl,H2O,Snow White,CH4
17,Science,The element Au is better known by which name?,Gold,Xenon,Arsenic,Argon
18,Science,Which Fundamental Force holds nucleons together?,Strong,Gravity,Weak,Electromagnetic
19,Science,Which Fundamental Force is responsible for the decay of atoms?,Weak,Gravity,Electromagnetic,Strong
20,Science,Which scientist established the 3 laws of motion?,Newton,Einstein,Maxwell,Faraday
21,Art,How many keys does a piano have?,88,87,86,89
22,Art,Which of the following character is written by Tolstoy?,Anna Karenina,Julien Sorel,Madame Bovary,Rodion Romanovich Raskolnikov
23,Art,What's Chopin 's nationality?,Polish,German,French,Dutch
24,Art,Which of the following is not an idea of Confucius?,"""You are not me, so how can you know I don't know what fish enjoy.""","""How about 'reciprocity'! Never impose on others what you would not choose for yourself.""","""What you do not wish for yourself, do not do to others.""","""When I walk along with two others, they may serve me as my teachers. I will select their good qualities and follow them, their bad qualities and avoid them."""
25,Art,Which of th following is not a characteristic/feature of Yayoi Kusama's art?,Hydrangea macrophylla,Mirror,Pumpkin,Polka Dot
26,Art,Which of the following artwork is not exhibited in Mus�e du Louvre?,Hoa Hakananai'a,La Libert� guidant le peuple,Mona Lisa,Winged Victory of Samothrace
27,Art,Which of the following ballet is not composed by Pyotr Ilyich Tchaikovsky?,The Queen of Spades,The Nutcracker,The Sleeping Beauty,Swan Lake
